AAIT,33.64,33.17,33.02,33.30,33.26
AAL,49.38,49.14,49.41,50.12,51.06
AAME,3.98,3.90,3.89,3.91,4.00
AAOI,8.35,8.86,9.01,9.84,10.06
AAON,21.23,21.81,21.46,21.45,21.34
AAPL,107.03,110.00,109.04,111.43,112.60
AAVL,51.34,57.09,57.90,59.23,58.70
AAWW,45.36,46.08,45.87,47.19,47.73
AAXJ,61.51,62.26,61.36,61.96,61.40
ABAC,1.45,1.45,1.46,1.35,1.51
